Fecha;Ciudad;Sistema;Pasajeros/dia;Variacion Transmilenio;Pasajeros dia tipico laboral;Pasajeros dia sabado;Pasajeros dia festivo;DiaSemana
12/04/2020;Bucaramanga;METROLINEA;4,61;-0,861665767;106,154;70,267;33,354;7
12/04/2020;Pereira;MEGABUS;6,64;-0,873039253;128,221;100,186;52,276;7
12/04/2020;Cartagena;TRANSCARIBE;1,07;-0,976395372;140;95,43;45,203;7
12/04/2020;Barranquilla;TRANSMETRO;9,79;-0,811807692;144,276;110;52;7
12/04/2020;Cali/Valle;MIO;26,97;-0,819258376;436;308,387;149,213;7
12/04/2020;Medellin;SITVA;100,82;-0,870893885;1901,978;1498,727;780,939;7
12/04/2020;Bogota;TRANSMILENIO/SITP;249,16;-0,79037899;3860,061;2499,019;1188,607;7
13/04/2020;Bucaramanga;METROLINEA;23,06;-0,78274959;106,154;70,267;33,354;1
13/04/2020;Pereira;MEGABUS;22,92;-0,821285125;128,221;100,186;52,276;1
13/04/2020;Cartagena;TRANSCARIBE;3,75;-0,973214286;140;95,43;45,203;1
13/04/2020;Barranquilla;TRANSMETRO;25,37;-0,824177271;144,276;110;52;1
13/04/2020;Cali/Valle;MIO;84,64;-0,80587844;436;308,387;149,213;1
13/04/2020;Medellin;SITVA;289,74;-0,847666482;1901,978;1498,727;780,939;1
13/04/2020;Bogota;TRANSMILENIO/SITP;635,82;-0,835283432;3860,061;2499,019;1188,607;1
14/04/2020;Bucaramanga;METROLINEA;24,47;-0,769495262;106,154;70,267;33,354;2
14/04/2020;Pereira;MEGABUS;23,12;-0,819694122;128,221;100,186;52,276;2
14/04/2020;Cartagena;TRANSCARIBE;3,84;-0,972557143;140;95,43;45,203;2
14/04/2020;Barranquilla;TRANSMETRO;25,60;-0,822541518;144,276;110;52;2
14/04/2020;Cali/Valle;MIO;83,47;-0,808555046;436;308,387;149,213;2
14/04/2020;Medellin;SITVA;283,02;-0,851199646;1901,978;1498,727;780,939;2
14/04/2020;Bogota;TRANSMILENIO/SITP;700,87;-0,818429812;3860,061;2499,019;1188,607;2
15/04/2020;Bucaramanga;METROLINEA;25,07;-0,763871357;106,154;70,267;33,354;3
15/04/2020;Pereira;MEGABUS;21,46;-0,832617122;128,221;100,186;52,276;3
15/04/2020;Cartagena;TRANSCARIBE;4,02;-0,971292857;140;95,43;45,203;3
15/04/2020;Barranquilla;TRANSMETRO;27,48;-0,809510937;144,276;110;52;3
15/04/2020;Cali/Valle;MIO;85,63;-0,803600917;436;308,387;149,213;3
15/04/2020;Medellin;SITVA;294,25;-0,845294215;1901,978;1498,727;780,939;3
15/04/2020;Bogota;TRANSMILENIO/SITP;657,84;-0,829577564;3860,061;2499,019;1188,607;3
16/04/2020;Bucaramanga;METROLINEA;24,71;-0,767215555;106,154;70,267;33,354;4
16/04/2020;Pereira;MEGABUS;22,14;-0,82729818;128,221;100,186;52,276;4
16/04/2020;Cartagena;TRANSCARIBE;3,68;-0,9737;140;95,43;45,203;4
16/04/2020;Barranquilla;TRANSMETRO;27,50;-0,809393108;144,276;110;52;4
16/04/2020;Cali/Valle;MIO;84,86;-0,805360092;436;308,387;149,213;4
16/04/2020;Medellin;SITVA;300,68;-0,841911946;1901,978;1498,727;780,939;4
16/04/2020;Bogota;TRANSMILENIO/SITP;681,30;-0,823500717;3860,061;2499,019;1188,607;4
17/04/2020;Bucaramanga;METROLINEA;21,76;-0,79501479;106,154;70,267;33,354;5
17/04/2020;Pereira;MEGABUS;22,62;-0,823601438;128,221;100,186;52,276;5
17/04/2020;Cartagena;TRANSCARIBE;3,34;-0,976121429;140;95,43;45,203;5
17/04/2020;Barranquilla;TRANSMETRO;27,72;-0,807868253;144,276;110;52;5
17/04/2020;Cali/Valle;MIO;83,83;-0,807722477;436;308,387;149,213;5
17/04/2020;Medellin;SITVA;303,51;-0,840421919;1901,978;1498,727;780,939;5
17/04/2020;Bogota;TRANSMILENIO/SITP;648,01;-0,832124674;3860,061;2499,019;1188,607;5
18/04/2020;Bucaramanga;METROLINEA;9,99;-0,857856462;106,154;70,267;33,354;6
18/04/2020;Pereira;MEGABUS;17,26;-0,827730421;128,221;100,186;52,276;6
18/04/2020;Cartagena;TRANSCARIBE;2,58;-0,972964477;140;95,43;45,203;6
18/04/2020;Barranquilla;TRANSMETRO;21,38;-0,805663636;144,276;110;52;6
18/04/2020;Cali/Valle;MIO;58,33;-0,810870757;436;308,387;149,213;6
18/04/2020;Medellin;SITVA;240,28;-0,83967794;1901,978;1498,727;780,939;6
18/04/2020;Bogota;TRANSMILENIO/SITP;483,09;-0,806690145;3860,061;2499,019;1188,607;6
19/04/2020;Bucaramanga;METROLINEA;5,32;-0,840588835;106,154;70,267;33,354;7
19/04/2020;Pereira;MEGABUS;7,61;-0,854349989;128,221;100,186;52,276;7
19/04/2020;Cartagena;TRANSCARIBE;1,17;-0,974183129;140;95,43;45,203;7
19/04/2020;Barranquilla;TRANSMETRO;10,29;-0,802115385;144,276;110;52;7
19/04/2020;Cali/Valle;MIO;29,93;-0,799394155;436;308,387;149,213;7
19/04/2020;Medellin;SITVA;114,04;-0,853970669;1901,978;1498,727;780,939;7
19/04/2020;Bogota;TRANSMILENIO/SITP;266,19;-0,776050452;3860,061;2499,019;1188,607;7
20/04/2020;Bucaramanga;METROLINEA;24,68;-0,767526424;106,154;70,267;33,354;1
20/04/2020;Pereira;MEGABUS;21,39;-0,833194251;128,221;100,186;52,276;1
20/04/2020;Cartagena;TRANSCARIBE;3,82;-0,972728571;140;95,43;45,203;1
20/04/2020;Barranquilla;TRANSMETRO;27,23;-0,81125759;144,276;110;52;1
20/04/2020;Cali/Valle;MIO;88,30;-0,797477064;436;308,387;149,213;1
20/04/2020;Medellin;SITVA;309,60;-0,837222618;1901,978;1498,727;780,939;1
20/04/2020;Bogota;TRANSMILENIO/SITP;678,20;-0,824303554;3860,061;2499,019;1188,607;1
21/04/2020;Bucaramanga;METROLINEA;23,88;-0,775034384;106,154;70,267;33,354;2
21/04/2020;Pereira;MEGABUS;21,31;-0,833818173;128,221;100,186;52,276;2
21/04/2020;Cartagena;TRANSCARIBE;3,38;-0,975878571;140;95,43;45,203;2
21/04/2020;Barranquilla;TRANSMETRO;25,85;-0,820801797;144,276;110;52;2
21/04/2020;Cali/Valle;MIO;83,58;-0,808298165;436;308,387;149,213;2
21/04/2020;Medellin;SITVA;307,80;-0,838166898;1901,978;1498,727;780,939;2
21/04/2020;Bogota;TRANSMILENIO/SITP;667,26;-0,827136411;3860,061;2499,019;1188,607;2
22/04/2020;Bucaramanga;METROLINEA;24,17;-0,772311924;106,154;70,267;33,354;3
22/04/2020;Pereira;MEGABUS;21,00;-0,836220276;128,221;100,186;52,276;3
22/04/2020;Cartagena;TRANSCARIBE;3,58;-0,974442857;140;95,43;45,203;3
22/04/2020;Barranquilla;TRANSMETRO;28,63;-0,801560897;144,276;110;52;3
22/04/2020;Cali/Valle;MIO;89,13;-0,795573394;436;308,387;149,213;3
22/04/2020;Medellin;SITVA;314,80;-0,834489148;1901,978;1498,727;780,939;3
22/04/2020;Bogota;TRANSMILENIO/SITP;676,00;-0,824872198;3860,061;2499,019;1188,607;3
23/04/2020;Bucaramanga;METROLINEA;24,74;-0,766989468;106,154;70,267;33,354;4
23/04/2020;Pereira;MEGABUS;21,00;-0,836220276;128,221;100,186;52,276;4
23/04/2020;Cartagena;TRANSCARIBE;3,50;-0,975007143;140;95,43;45,203;4
23/04/2020;Barranquilla;TRANSMETRO;27,30;-0,810786271;144,276;110;52;4
23/04/2020;Cali/Valle;MIO;88,27;-0,797541284;436;308,387;149,213;4
23/04/2020;Medellin;SITVA;319,27;-0,832135808;1901,978;1498,727;780,939;4
23/04/2020;Bogota;TRANSMILENIO/SITP;672,44;-0,825794722;3860,061;2499,019;1188,607;4
24/04/2020;Bucaramanga;METROLINEA;24,92;-0,765274978;106,154;70,267;33,354;5
