Fecha,Ciudad,Sistema,Pasajeros/dia,Variacion Transmilenio,Pasajeros dia tipico laboral,Pasajeros dia sabado,Pasajeros dia festivo,DiaSemana
31/03/2020,Bucaramanga,METROLINEA,2016,-810058971,106154,70267,33354,2
31/03/2020,Pereira,MEGABUS,2097,-836493242,128221,100186,52276,2
31/03/2020,Cartagena,TRANSCARIBE,424,-969735714,140,9543,45203,2
31/03/2020,Barranquilla,TRANSMETRO,2625,-818029333,144276,110,52,2
31/03/2020,Cali/Valle,MIO,7081,-83759633,436,308387,149213,2
31/03/2020,Medellin,SITVA,26837,-858898473,1901978,1498727,780939,2
31/03/2020,Bogota,TRANSMILENIO/SITP,62531,-838004374,3860061,2499019,1188607,2
1/04/2020,Bucaramanga,METROLINEA,2136,-79876406,106154,70267,33354,3
1/04/2020,Pereira,MEGABUS,2134,-833607599,128221,100186,52276,3
1/04/2020,Cartagena,TRANSCARIBE,463,-9669,140,9543,45203,3
1/04/2020,Barranquilla,TRANSMETRO,2757,-808880202,144276,110,52,3
1/04/2020,Cali/Valle,MIO,756,-826607798,436,308387,149213,3
1/04/2020,Medellin,SITVA,27777,-853958879,1901978,1498727,780939,3
1/04/2020,Bogota,TRANSMILENIO/SITP,66854,-826806105,3860061,2499019,1188607,3
2/04/2020,Bucaramanga,METROLINEA,2165,-796013339,106154,70267,33354,4
2/04/2020,Pereira,MEGABUS,219,-829201145,128221,100186,52276,4
2/04/2020,Cartagena,TRANSCARIBE,426,-969578571,140,9543,45203,4
2/04/2020,Barranquilla,TRANSMETRO,2468,-828945909,144276,110,52,4
2/04/2020,Cali/Valle,MIO,7656,-824401376,436,308387,149213,4
2/04/2020,Medellin,SITVA,2542,-866350189,1901978,1498727,780939,4
2/04/2020,Bogota,TRANSMILENIO/SITP,6573,-829717717,3860061,2499019,1188607,4
3/04/2020,Bucaramanga,METROLINEA,1891,-821843736,106154,70267,33354,5
3/04/2020,Pereira,MEGABUS,213,-833888365,128221,100186,52276,5
3/04/2020,Cartagena,TRANSCARIBE,456,-967421429,140,9543,45203,5
3/04/2020,Barranquilla,TRANSMETRO,2661,-815541046,144276,110,52,5
3/04/2020,Cali/Valle,MIO,7458,-828940367,436,308387,149213,5
3/04/2020,Medellin,SITVA,2636,-861405337,1901978,1498727,780939,5
3/04/2020,Bogota,TRANSMILENIO/SITP,65413,-830538429,3860061,2499019,1188607,5
4/04/2020,Bucaramanga,METROLINEA,1037,-852462749,106154,70267,33354,6
4/04/2020,Pereira,MEGABUS,15,-850278482,128221,100186,52276,6
4/04/2020,Cartagena,TRANSCARIBE,3,-96860526,140,9543,45203,6
4/04/2020,Barranquilla,TRANSMETRO,2019,-8165,144276,110,52,6
4/04/2020,Cali/Valle,MIO,5311,-827774841,436,308387,149213,6
4/04/2020,Medellin,SITVA,21152,-858868226,1901978,1498727,780939,6
4/04/2020,Bogota,TRANSMILENIO/SITP,49379,-802408065,3860061,2499019,1188607,6
5/04/2020,Bucaramanga,METROLINEA,583,-825268334,106154,70267,33354,7
5/04/2020,Pereira,MEGABUS,644,-876731196,128221,100186,52276,7
5/04/2020,Cartagena,TRANSCARIBE,103,-977191779,140,9543,45203,7
5/04/2020,Barranquilla,TRANSMETRO,103,-801942308,144276,110,52,7
5/04/2020,Cali/Valle,MIO,2769,-814406251,436,308387,149213,7
5/04/2020,Medellin,SITVA,1043,-866446675,1901978,1498727,780939,7
5/04/2020,Bogota,TRANSMILENIO/SITP,25674,-78400346,3860061,2499019,1188607,7
6/04/2020,Bucaramanga,METROLINEA,2067,-80525463,106154,70267,33354,1
6/04/2020,Pereira,MEGABUS,2113,-8352142,128221,100186,52276,1
6/04/2020,Cartagena,TRANSCARIBE,416,-970292857,140,9543,45203,1
6/04/2020,Barranquilla,TRANSMETRO,2565,-822243478,144276,110,52,1
6/04/2020,Cali/Valle,MIO,7104,-837073394,436,308387,149213,1
6/04/2020,Medellin,SITVA,2673,-859462097,1901978,1498727,780939,1
6/04/2020,Bogota,TRANSMILENIO/SITP,68094,-823593461,3860061,2499019,1188607,1
7/04/2020,Bucaramanga,METROLINEA,1944,-816869831,106154,70267,33354,2
7/04/2020,Pereira,MEGABUS,2259,-823796414,128221,100186,52276,2
7/04/2020,Cartagena,TRANSCARIBE,421,-96995,140,9543,45203,2
7/04/2020,Barranquilla,TRANSMETRO,2725,-811153622,144276,110,52,2
7/04/2020,Cali/Valle,MIO,7499,-828011468,436,308387,149213,2
7/04/2020,Medellin,SITVA,26604,-860122988,1901978,1498727,780939,2
7/04/2020,Bogota,TRANSMILENIO/SITP,61059,-841818303,3860061,2499019,1188607,2
8/04/2020,Bucaramanga,METROLINEA,2275,-785651035,106154,70267,33354,3
8/04/2020,Pereira,MEGABUS,2188,-829349327,128221,100186,52276,3
8/04/2020,Cartagena,TRANSCARIBE,385,-972514286,140,9543,45203,3
8/04/2020,Barranquilla,TRANSMETRO,2749,-809490144,144276,110,52,3
8/04/2020,Cali/Valle,MIO,814,-813311927,436,308387,149213,3
8/04/2020,Medellin,SITVA,2729,-856517794,1901978,1498727,780939,3
8/04/2020,Bogota,TRANSMILENIO/SITP,67567,-824958466,3860061,2499019,1188607,3
9/04/2020,Bucaramanga,METROLINEA,1087,-897563917,106154,70267,33354,4
9/04/2020,Pereira,MEGABUS,1065,-916948082,128221,100186,52276,4
9/04/2020,Cartagena,TRANSCARIBE,123,-991207143,140,9543,45203,4
9/04/2020,Barranquilla,TRANSMETRO,1264,-91238321,144276,110,52,4
9/04/2020,Cali/Valle,MIO,3395,-922137615,436,308387,149213,4
9/04/2020,Medellin,SITVA,12552,-934007123,1901978,1498727,780939,4
9/04/2020,Bogota,TRANSMILENIO/SITP,28524,-926104795,3860061,2499019,1188607,4
10/04/2020,Bucaramanga,METROLINEA,711,-933050097,106154,70267,33354,5
10/04/2020,Pereira,MEGABUS,823,-935829544,128221,100186,52276,5
10/04/2020,Cartagena,TRANSCARIBE,121,-991378571,140,9543,45203,5
10/04/2020,Barranquilla,TRANSMETRO,966,-933017272,144276,110,52,5
10/04/2020,Cali/Valle,MIO,2746,-937009174,436,308387,149213,5
10/04/2020,Medellin,SITVA,9762,-948672908,1901978,1498727,780939,5
10/04/2020,Bogota,TRANSMILENIO/SITP,22445,-941854546,3860061,2499019,1188607,5
11/04/2020,Bucaramanga,METROLINEA,727,-896523261,106154,70267,33354,6
11/04/2020,Pereira,MEGABUS,1383,-861996686,128221,100186,52276,6
11/04/2020,Cartagena,TRANSCARIBE,29,-969621712,140,9543,45203,6
11/04/2020,Barranquilla,TRANSMETRO,1705,-845027273,144276,110,52,6
11/04/2020,Cali/Valle,MIO,4365,-858460311,436,308387,149213,6
11/04/2020,Medellin,SITVA,18479,-876703362,1901978,1498727,780939,6
11/04/2020,Bogota,TRANSMILENIO/SITP,39699,-841143665,3860061,2499019,1188607,6
12/04/2020,Bucaramanga,METROLINEA,461,-861665767,106154,70267,33354,7
12/04/2020,Pereira,MEGABUS,664,-873039253,128221,100186,52276,7
12/04/2020,Cartagena,TRANSCARIBE,107,-976395372,140,9543,45203,7
12/04/2020,Barranquilla,TRANSMETRO,979,-811807692,144276,110,52,7
12/04/2020,Cali/Valle,MIO,2697,-819258376,436,308387,149213,7
12/04/2020,Medellin,SITVA,10082,-870893885,1901978,1498727,780939,7
12/04/2020,Bogota,TRANSMILENIO/SITP,24916,-79037899,3860061,2499019,1188607,7
13/04/2020,Bucaramanga,METROLINEA,2306,-78274959,106154,70267,33354,1
13/04/2020,Pereira,MEGABUS,2292,-821285125,128221,100186,52276,1
13/04/2020,Cartagena,TRANSCARIBE,375,-973214286,140,9543,45203,1
13/04/2020,Barranquilla,TRANSMETRO,2537,-824177271,144276,110,52,1
13/04/2020,Cali/Valle,MIO,8464,-80587844,436,308387,149213,1
13/04/2020,Medellin,SITVA,28974,-847666482,1901978,1498727,780939,1
13/04/2020,Bogota,TRANSMILENIO/SITP,63582,-835283432,3860061,2499019,1188607,1
14/04/2020,Bucaramanga,METROLINEA,2447,-769495262,106154,70267,33354,2
14/04/2020,Pereira,MEGABUS,2312,-819694122,128221,100186,52276,2
14/04/2020,Cartagena,TRANSCARIBE,384,-972557143,140,9543,45203,2
14/04/2020,Barranquilla,TRANSMETRO,256,-822541518,144276,110,52,2
14/04/2020,Cali/Valle,MIO,8347,-808555046,436,308387,149213,2
14/04/2020,Medellin,SITVA,28302,-851199646,1901978,1498727,780939,2
14/04/2020,Bogota,TRANSMILENIO/SITP,70087,-818429812,3860061,2499019,1188607,2
15/04/2020,Bucaramanga,METROLINEA,2507,-763871357,106154,70267,33354,3
15/04/2020,Pereira,MEGABUS,2146,-832617122,128221,100186,52276,3
15/04/2020,Cartagena,TRANSCARIBE,402,-971292857,140,9543,45203,3
15/04/2020,Barranquilla,TRANSMETRO,2748,-809510937,144276,110,52,3
15/04/2020,Cali/Valle,MIO,8563,-803600917,436,308387,149213,3
15/04/2020,Medellin,SITVA,29425,-845294215,1901978,1498727,780939,3
15/04/2020,Bogota,TRANSMILENIO/SITP,65784,-829577564,3860061,2499019,1188607,3
16/04/2020,Bucaramanga,METROLINEA,2471,-767215555,106154,70267,33354,4
16/04/2020,Pereira,MEGABUS,2214,-82729818,128221,100186,52276,4
16/04/2020,Cartagena,TRANSCARIBE,368,-9737,140,9543,45203,4
