Fecha;Ciudad;Sistema;Pasajeros/dia;Variacion Transmilenio;Pasajeros dia tipico laboral;Pasajeros dia sabado;Pasajeros dia festivo;DiaSemana
27/04/2020;Cali/Valle;MIO;96,76;-0,778073394;436;308,387;149,213;1
9/07/2020;Cali/Valle;MIO;165,976;-0,619321101;436;308,387;149,213;4
21/06/2020;Cali/Valle;MIO;54,194;-0,636801083;436;308,387;149,213;7
6/09/2020;Cali/Valle;MIO;61,318;-0,589057254;436;308,387;149,213;7
18/03/2020;Cali/Valle;MIO;233;-0,46559633;436;308,387;149,213;3
19/05/2020;Cali/Valle;MIO;118,13;-0,729059633;436;308,387;149,213;2
21/05/2020;Cali/Valle;MIO;120,597;-0,723401376;436;308,387;149,213;4
3/05/2020;Cali/Valle;MIO;35,189;-0,764169342;436;308,387;149,213;7
6/05/2020;Cali/Valle;MIO;109,399;-0,749084862;436;308,387;149,213;3
10/04/2020;Cali/Valle;MIO;27,464;-0,937009174;436;308,387;149,213;5
2/06/2020;Cali/Valle;MIO;146,069;-0,664979358;436;308,387;149,213;2
1/05/2020;Cali/Valle;MIO;34,334;-0,921252294;436;308,387;149,213;5
23/07/2020;Cali/Valle;MIO;163,278;-0,625509174;436;308,387;149,213;4
28/08/2020;Cali/Valle;MIO;167,564;-0,615678899;436;308,387;149,213;5
27/07/2020;Cali/Valle;MIO;160,341;-0,632245413;436;308,387;149,213;1
14/08/2020;Cali/Valle;MIO;164,613;-0,622447248;436;308,387;149,213;5
29/04/2020;Cali/Valle;MIO;99,993;-0,770658257;436;308,387;149,213;3
31/03/2020;Cali/Valle;MIO;70,808;-0,83759633;436;308,387;149,213;2
21/07/2020;Cali/Valle;MIO;163,526;-0,624940367;436;308,387;149,213;2
3/06/2020;Cali/Valle;MIO;145,377;-0,666566514;436;308,387;149,213;3
28/05/2020;Cali/Valle;MIO;131,242;-0,698986239;436;308,387;149,213;4
4/06/2020;Cali/Valle;MIO;144,802;-0,667885321;436;308,387;149,213;4
17/06/2020;Cali/Valle;MIO;163,249;-0,625575688;436;308,387;149,213;3
11/06/2020;Cali/Valle;MIO;148,777;-0,658768349;436;308,387;149,213;4
25/05/2020;Cali/Valle;MIO;44,157;-0,70406734;436;308,387;149,213;1
19/08/2020;Cali/Valle;MIO;161,862;-0,628756881;436;308,387;149,213;3
13/05/2020;Cali/Valle;MIO;114,602;-0,737151376;436;308,387;149,213;3
30/03/2020;Cali/Valle;MIO;72,564;-0,833568807;436;308,387;149,213;1
24/03/2020;Cali/Valle;MIO;108,924;-0,750174312;436;308,387;149,213;2
